Month,Alabama_Cumulative,Alaska_Cumulative,Arizona_Cumulative,Arkansas_Cumulative,California_Cumulative,Colorado_Cumulative,Connecticut_Cumulative,District of Columbia_Cumulative,Delaware_Cumulative,Florida_Cumulative,Georgia_Cumulative,Hawaii_Cumulative,Idaho_Cumulative,Illinois_Cumulative,Indiana_Cumulative,Iowa_Cumulative,Kansas_Cumulative,Kentucky_Cumulative,Louisiana_Cumulative,Maine_Cumulative,Maryland_Cumulative,Massachusetts_Cumulative,Michigan_Cumulative,Minnesota_Cumulative,Mississippi_Cumulative,Missouri_Cumulative,Montana_Cumulative,Nebraska_Cumulative,Nevada_Cumulative,New Hampshire_Cumulative,New Jersey_Cumulative,New Mexico_Cumulative,New York_Cumulative,North Carolina_Cumulative,North Dakota_Cumulative,Ohio_Cumulative,Oklahoma_Cumulative,Oregon_Cumulative,Pennsylvania_Cumulative,Rhode Island_Cumulative,South Carolina_Cumulative,South Dakota_Cumulative,Tennessee_Cumulative,Texas_Cumulative,Utah_Cumulative,Vermont_Cumulative,Virginia_Cumulative,Washington_Cumulative,West Virginia_Cumulative,Wisconsin_Cumulative,Wyoming_Cumulative
2020-03,21.53190809190809,0,6.7685948119144355,6.451612903225806,77.65412927614501,13.838431016660008,0.7687687687687688,2.237762237762238,0,30.31851262801169,7.072487052157664,21.05263157894737,0,35.65752627824584,26.101452161955017,0.0,7.076923076923077,1.165165165165165,0.8,0.0,5.815151661728843,19.932305860993498,19.316046810483133,6.050549345686564,0,9.682093492989285,16.666666666666668,33.86486486486486,11.379884882034283,0.0,20.92751695031984,0,58.57099250428934,28.644925599249333,0,41.51510813549455,4.4727084995541375,12.846191439199552,15.006197197498123,0,0.9009009009009008,0,7.639442952975959,28.117351942435292,1.1411411411411412,0,22.45239772881776,17.24529188518266,0,35.097126977723995,0.0
2020-04,21.53190809190809,0,6.7685948119144355,6.451612903225806,78.4962345393029,15.671764349993342,0.7687687687687688,2.237762237762238,0,31.0202670139766,7.072487052157664,21.05263157894737,0,37.06103505017566,26.101452161955017,0.0,7.076923076923077,1.165165165165165,0.8,0.0,5.815151661728843,21.89721814169525,19.316046810483133,6.050549345686564,0,9.682093492989285,16.666666666666668,33.86486486486486,11.379884882034283,0.0,22.892429231021595,0,59.55344864464022,28.644925599249333,0,43.26949410040683,4.4727084995541375,12.846191439199552,15.006197197498123,0,0.9009009009009008,0,7.639442952975959,28.889281766996696,1.1411411411411412,0,23.855906500747587,17.24529188518266,0,35.097126977723995,0.0
2020-05,21.53190809190809,0,6.7685948119144355,6.451612903225806,79.47401231708068,15.671764349993342,0.7687687687687688,2.237762237762238,0,31.0202670139766,7.072487052157664,21.05263157894737,0,38.30547949462011,26.101452161955017,0.0,7.076923076923077,1.165165165165165,0.8,0.0,8.304040550617731,21.89721814169525,19.316046810483133,6.050549345686564,0,9.682093492989285,16.666666666666668,33.86486486486486,11.379884882034283,0.0,22.892429231021595,0,60.442337533529106,28.644925599249333,0,43.26949410040683,4.4727084995541375,12.846191439199552,15.006197197498123,0,0.9009009009009008,0,7.639442952975959,29.778170655885585,1.1411411411411412,0,23.855906500747587,17.24529188518266,0,35.097126977723995,0.0
2020-06,21.53190809190809,0,6.7685948119144355,6.451612903225806,80.807345650414,15.671764349993342,0.7687687687687688,2.237762237762238,0,31.0202670139766,7.072487052157664,21.05263157894737,0,38.30547949462011,26.101452161955017,0.0,7.076923076923077,1.165165165165165,0.8,0.0,12.570707217284397,21.89721814169525,19.316046810483133,6.050549345686564,0,9.682093492989285,16.666666666666668,33.86486486486486,11.379884882034283,0.0,22.892429231021595,0,61.909004200195774,28.644925599249333,0,43.26949410040683,4.4727084995541375,12.846191439199552,15.006197197498123,0,0.9009009009009008,0,7.639442952975959,30.978170655885584,1.1411411411411412,0,23.855906500747587,17.24529188518266,0,35.097126977723995,0.0
2020-07,21.53190809190809,0,6.7685948119144355,6.451612903225806,82.14067898374734,15.671764349993342,0.7687687687687688,2.237762237762238,0,31.0202670139766,7.072487052157664,21.05263157894737,0,38.30547949462011,26.101452161955017,0.0,7.076923076923077,1.165165165165165,0.8,0.0,12.570707217284397,21.89721814169525,19.316046810483133,6.050549345686564,0,9.682093492989285,16.666666666666668,33.86486486486486,11.379884882034283,0.0,30.62576256435493,0,61.909004200195774,28.644925599249333,0,43.26949410040683,4.4727084995541375,12.846191439199552,19.806197197498122,0,0.9009009009009008,0,7.639442952975959,33.64483732255225,1.1411411411411412,0,29.722573167414254,17.24529188518266,0,35.097126977723995,0.0
2020-08,21.53190809190809,0,6.7685948119144355,6.451612903225806,84.07171346650595,15.671764349993342,0.7687687687687688,2.237762237762238,0,31.0202670139766,8.48915371882433,21.05263157894737,0,38.30547949462011,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,0.0,12.570707217284397,21.89721814169525,19.316046810483133,6.050549345686564,0,9.682093492989285,16.666666666666668,33.86486486486486,11.379884882034283,0.0,35.453348771251484,0,61.909004200195774,28.644925599249333,0,43.26949410040683,4.4727084995541375,12.846191439199552,19.806197197498122,0,0.9009009009009008,0,7.639442952975959,35.71380283979363,1.1411411411411412,0,29.722573167414254,17.24529188518266,0,35.097126977723995,0.0
2020-09,21.53190809190809,0,6.7685948119144355,6.451612903225806,85.11171346650596,15.671764349993342,3.808768768768769,2.237762237762238,0,31.8602670139766,8.48915371882433,21.05263157894737,0,39.06547949462011,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,0.0,12.570707217284397,21.89721814169525,20.156046810483133,6.050549345686564,0,9.682093492989285,16.666666666666668,33.86486486486486,11.379884882034283,0.0,36.49334877125148,0,63.30900420019577,28.644925599249333,0,43.26949410040683,4.4727084995541375,12.846191439199552,20.68619719749812,0,0.9009009009009008,0,9.359442952975959,36.51380283979363,1.1411411411411412,0,30.562573167414254,17.24529188518266,0,35.097126977723995,0.0
2020-10,21.53190809190809,0,6.7685948119144355,6.451612903225806,85.7834691916968,16.937951400353054,3.808768768768769,2.237762237762238,0,32.34881663229721,8.48915371882433,21.05263157894737,0,39.06547949462011,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,0.0,12.570707217284397,21.89721814169525,21.04154299368924,6.050549345686564,0,9.682093492989285,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,66.05709580324921,28.644925599249333,0,44.09392158132286,4.4727084995541375,12.846191439199552,20.68619719749812,0,0.9009009009009008,0,9.359442952975959,37.09395551154935,1.1411411411411412,0,30.562573167414254,17.24529188518266,0,35.097126977723995,0.0
2020-11,21.53190809190809,0,8.55321019652982,6.451612903225806,87.2234691916968,16.937951400353054,3.808768768768769,2.237762237762238,0,33.04214996563054,8.48915371882433,21.05263157894737,0,39.91881282795344,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,0.0,12.570707217284397,21.89721814169525,21.04154299368924,8.663882679019897,0,9.682093492989285,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,66.80376246991588,28.644925599249333,0,45.26725491465619,4.4727084995541375,12.846191439199552,22.019530530831453,0,0.9009009009009008,0,12.23944295297596,38.053955511549354,1.1411411411411412,0,30.562573167414254,19.16529188518266,0,35.097126977723995,0.0
2020-12,21.53190809190809,0,8.55321019652982,6.451612903225806,89.2234691916968,16.937951400353054,3.808768768768769,2.237762237762238,0,33.04214996563054,9.908508557534008,21.05263157894737,0,39.91881282795344,26.101452161955017,0.0,7.076923076923077,1.165165165165165,9.8,0.0,12.570707217284397,21.89721814169525,24.374876327022573,8.663882679019897,0,18.482093492989286,16.666666666666668,33.86486486486486,11.379884882034283,0.0,37.43991365674766,0,66.80376246991588,28.644925599249333,0,45.26725491465619,4.4727084995541375,12.846191439199552,24.481068992369913,0,0.9009009009009008,0,12.23944295297596,40.053955511549354,1.1411411411411412,0,30.562573167414254,19.16529188518266,0,35.097126977723995,0.0
