Month,Alabama_Cumulative,Alaska_Cumulative,Arizona_Cumulative,Arkansas_Cumulative,California_Cumulative,Colorado_Cumulative,Connecticut_Cumulative,District of Columbia_Cumulative,Delaware_Cumulative,Florida_Cumulative,Georgia_Cumulative,Hawaii_Cumulative,Idaho_Cumulative,Illinois_Cumulative,Indiana_Cumulative,Iowa_Cumulative,Kansas_Cumulative,Kentucky_Cumulative,Louisiana_Cumulative,Maine_Cumulative,Maryland_Cumulative,Massachusetts_Cumulative,Michigan_Cumulative,Minnesota_Cumulative,Mississippi_Cumulative,Missouri_Cumulative,Montana_Cumulative,Nebraska_Cumulative,Nevada_Cumulative,New Hampshire_Cumulative,New Jersey_Cumulative,New Mexico_Cumulative,New York_Cumulative,North Carolina_Cumulative,North Dakota_Cumulative,Ohio_Cumulative,Oklahoma_Cumulative,Oregon_Cumulative,Pennsylvania_Cumulative,Rhode Island_Cumulative,South Carolina_Cumulative,South Dakota_Cumulative,Tennessee_Cumulative,Texas_Cumulative,Utah_Cumulative,Vermont_Cumulative,Virginia_Cumulative,Washington_Cumulative,West Virginia_Cumulative,Wisconsin_Cumulative,Wyoming_Cumulative
2014-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629628,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629628,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629628,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629628,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629628,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629628,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629628,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629628,0.0,0.0,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629628,0.0,0.0,0.0,2.962962962962963,0.0,0.2839506172839506,0.0,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.9629629629629628,0.0,0.0,0.0,2.962962962962963,0.0,0.2839506172839506,0.0,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02,0.9753086419753086,0.0,0.0,0.0,0.1975308641975308,0.0,0.0,0.9629629629629628,0.0,0.1604938271604938,0.0,2.962962962962963,0.0,0.2839506172839506,0.0,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1728395061728395,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382716049382716,0.0,0.0,0.0,0.0
2016-03,0.9753086419753086,0.0,0.0,0.0,0.2716049382716048,0.0,0.0,0.9629629629629628,0.0,0.1604938271604938,0.0,2.962962962962963,0.0,0.2839506172839506,1.160493827160494,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345679012345679,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382716049382716,0.0,0.0,0.0,0.0
2016-04,0.9753086419753086,0.0,0.0,0.0,0.41975308641975295,0.0,0.0,0.9629629629629628,0.0,0.1604938271604938,0.0,2.962962962962963,0.0,0.2839506172839506,1.160493827160494,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345679012345679,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382716049382716,0.0,0.0,0.0,0.0
2016-05,0.9753086419753086,0.0,0.0,0.0,0.5308641975308641,0.0,0.0,0.9629629629629628,0.0,0.1604938271604938,0.0,2.962962962962963,0.0,0.2839506172839506,1.160493827160494,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061728395061728,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1234567901234567,0.0,0.0,0.382716049382716,0.0,0.0,0.0,0.0
2016-06,0.9753086419753086,0.0,0.0,0.0,0.5308641975308641,0.0,0.0,0.9629629629629628,0.0,0.1604938271604938,0.0,2.962962962962963,0.0,0.2839506172839506,1.160493827160494,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061728395061728,1.5873015873015872,0.0,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1234567901234567,0.0,0.0,0.382716049382716,0.0,0.0,0.0,0.0
2016-07,0.9753086419753086,0.0,0.0,0.0,0.6172839506172838,0.0,0.0,0.9629629629629628,0.0,0.1604938271604938,0.0,2.962962962962963,0.0,0.2839506172839506,1.160493827160494,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061728395061728,1.5873015873015872,0.0,0.9135802469135803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1234567901234567,0.0,0.0,0.382716049382716,0.0,0.0,0.0,0.0
2016-08,0.9753086419753086,0.0,0.0,0.0,0.6172839506172838,0.0,0.0,0.9629629629629628,0.0,0.1604938271604938,0.0,2.962962962962963,0.0,0.2839506172839506,1.160493827160494,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061728395061728,1.5873015873015872,0.0,0.9135802469135803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1234567901234567,0.0,0.0,0.382716049382716,0.0,0.0,0.0,0.0
2016-09,0.9753086419753086,0.0,0.0,0.0,0.7160493827160492,0.0,0.0,0.9629629629629628,0.0,0.1604938271604938,0.0,2.962962962962963,0.0,0.2839506172839506,1.160493827160494,0.0,0.0,0.0,0.0,0.0,1.1975308641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061728395061728,1.5873015873015872,0.0,0.9135802469135803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1234567901234567,0.0,0.0,0.382716049382716,0.0,0.0,0.0,0.0
