B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,GEO_ID,NAME,state,year
752201,386183,26850,26003,22931,13522,11561,6919,7400,21228,32642,29397,24267,21177,20737,23332,25372,9776,13204,7980,9235,11960,8477,5855,6358,366018,25970,24634,21358,12450,10118,5608,5796,19620,27263,24204,21413,19044,19537,22380,24497,8991,13090,7066,9498,12989,9973,9017,11502,0400000US38,North Dakota,38,2018
11641879,5703967,356158,364904,381863,236227,159095,83433,81108,229404,393824,363447,350595,342335,368484,392569,405748,157204,212336,129721,169754,204267,144488,92737,84266,5937912,339775,348619,365846,224776,152101,78172,79030,224283,385070,363140,351759,348864,376196,407180,429172,166350,229951,142146,189626,245127,186771,136152,167806,0400000US39,Ohio,39,2018
3918137,1941576,135154,137262,137209,81186,55006,30637,29915,84040,139956,135278,125658,116665,114931,121758,124069,46274,64471,39034,51888,68963,47262,30719,24241,1976561,128838,130543,131984,76530,50273,30957,27648,76954,134805,131742,122208,116843,114977,124032,130974,49921,70209,42598,60063,78917,58739,42796,44010,0400000US40,Oklahoma,40,2018
4081943,2023021,118970,122957,126795,76339,49816,27326,26926,81255,145960,144020,141355,130661,129889,127306,128966,53391,79320,49550,66626,80271,52718,32741,29863,2058922,112957,119662,118774,71724,48213,27353,26395,75788,140633,141840,138795,126958,127705,129210,137946,58438,85754,53351,72996,89182,60376,41473,53399,0400000US41,Oregon,41,2018
12791181,6263189,363116,370321,392373,243871,178501,89843,86600,251752,438627,407723,376257,369650,409982,443672,455388,176595,240840,144701,194334,239173,166919,115288,107663,6527992,346134,356853,372450,230212,173742,86458,87445,240147,422317,399081,373085,376230,418134,459506,479286,187882,257247,158387,216160,283264,216092,171292,216588,0400000US42,Pennsylvania,42,2018
1056611,513332,28137,29302,30294,19311,17232,8511,7754,23724,38292,34148,31068,30035,33847,37099,36680,14153,19099,11275,15214,18719,12281,8990,8167,543279,26450,28233,28649,18493,18342,9246,9190,20555,36762,33675,32049,30259,35915,39784,40052,15277,20784,12566,16933,22093,15583,13579,18810,0400000US44,Rhode Island,44,2018
27885195,13849775,1022326,1029753,1052203,615659,403141,217800,209558,604014,1055421,1024764,960504,924390,882591,857779,812347,295067,397084,233802,313318,388615,257255,163601,128783,14035420,976543,998398,1005211,592593,375799,198864,195571,572403,1014280,999832,955466,927222,895104,875566,846531,319394,434203,261133,349061,454786,320550,229762,237148,0400000US48,Texas,48,2018
4955925,2405726,147614,157158,158505,95185,70760,38450,38070,97990,167118,153268,145983,148438,151865,160572,156799,62383,87687,55157,81342,100618,64710,37848,28206,2550199,142476,150252,153768,91293,66402,32596,33800,96604,171078,157998,156178,152677,161955,173441,177514,71357,99608,64851,91210,117489,77941,53344,56367,0400000US45,South Carolina,45,2018
864289,435761,30977,30696,30106,17744,12278,6402,6585,18210,30057,29579,27302,24139,24337,27377,29641,11162,16463,10764,12331,14955,10305,7280,7071,428528,29430,29294,28910,15909,11125,6060,5710,17770,27370,27283,25175,22987,23068,26921,29562,11194,16658,9643,12936,15953,12326,10051,13193,0400000US46,South Dakota,46,2018
6651089,3243678,206076,211506,217232,131783,85935,47663,46618,133615,230485,211847,206381,207751,215466,219604,213346,81849,115819,73255,97969,121065,82041,49804,36568,3407411,197515,201283,210213,125786,81318,44847,44571,134422,233417,217262,215136,208908,222042,233143,234924,89965,128148,79854,109710,143874,102340,72716,76017,0400000US47,Tennessee,47,2018
