GEO_ID,NAME,state,year,variable,value,label,concept
0400000US13,Georgia,13,2019,B01001_001E,10403847,Estimate!!Total:,Sex by Age
0400000US16,Idaho,16,2019,B01001_001E,1717750,Estimate!!Total:,Sex by Age
0400000US15,Hawaii,15,2019,B01001_001E,1422094,Estimate!!Total:,Sex by Age
0400000US17,Illinois,17,2019,B01001_001E,12770631,Estimate!!Total:,Sex by Age
0400000US18,Indiana,18,2019,B01001_001E,6665703,Estimate!!Total:,Sex by Age
0400000US19,Iowa,19,2019,B01001_001E,3139508,Estimate!!Total:,Sex by Age
0400000US20,Kansas,20,2019,B01001_001E,2910652,Estimate!!Total:,Sex by Age
0400000US21,Kentucky,21,2019,B01001_001E,4449052,Estimate!!Total:,Sex by Age
0400000US22,Louisiana,22,2019,B01001_001E,4664362,Estimate!!Total:,Sex by Age
0400000US23,Maine,23,2019,B01001_001E,1335492,Estimate!!Total:,Sex by Age
0400000US24,Maryland,24,2019,B01001_001E,6018848,Estimate!!Total:,Sex by Age
0400000US25,Massachusetts,25,2019,B01001_001E,6850553,Estimate!!Total:,Sex by Age
0400000US26,Michigan,26,2019,B01001_001E,9965265,Estimate!!Total:,Sex by Age
0400000US27,Minnesota,27,2019,B01001_001E,5563378,Estimate!!Total:,Sex by Age
0400000US28,Mississippi,28,2019,B01001_001E,2984418,Estimate!!Total:,Sex by Age
0400000US29,Missouri,29,2019,B01001_001E,6104910,Estimate!!Total:,Sex by Age
0400000US30,Montana,30,2019,B01001_001E,1050649,Estimate!!Total:,Sex by Age
0400000US31,Nebraska,31,2019,B01001_001E,1914571,Estimate!!Total:,Sex by Age
0400000US32,Nevada,32,2019,B01001_001E,2972382,Estimate!!Total:,Sex by Age
0400000US33,New Hampshire,33,2019,B01001_001E,1348124,Estimate!!Total:,Sex by Age
0400000US34,New Jersey,34,2019,B01001_001E,8878503,Estimate!!Total:,Sex by Age
0400000US35,New Mexico,35,2019,B01001_001E,2092454,Estimate!!Total:,Sex by Age
0400000US36,New York,36,2019,B01001_001E,19572319,Estimate!!Total:,Sex by Age
0400000US37,North Carolina,37,2019,B01001_001E,10264876,Estimate!!Total:,Sex by Age
0400000US38,North Dakota,38,2019,B01001_001E,756717,Estimate!!Total:,Sex by Age
0400000US39,Ohio,39,2019,B01001_001E,11655397,Estimate!!Total:,Sex by Age
0400000US40,Oklahoma,40,2019,B01001_001E,3932870,Estimate!!Total:,Sex by Age
0400000US41,Oregon,41,2019,B01001_001E,4129803,Estimate!!Total:,Sex by Age
0400000US42,Pennsylvania,42,2019,B01001_001E,12791530,Estimate!!Total:,Sex by Age
0400000US44,Rhode Island,44,2019,B01001_001E,1057231,Estimate!!Total:,Sex by Age
